CountyRef,Longitude,Latitude,Mean_SO2
"Suffolk, Massachusetts, USA",-71.0826,42.3295,0.541834
"Worcester, Massachusetts, USA",-71.794322,42.263955,0.626136
"Kent, Michigan, USA",-85.671339,42.984173,0.765556
"Monroe, Michigan, USA",-83.34573,41.923582,1.513445
"St. Clair, Michigan, USA",-82.456229,42.953336,9.289863
"Wayne, Michigan, USA",-83.2082,42.22862,2.177591
"Wayne, Michigan, USA",-83.10653,42.302786,9.079614
"Wayne, Michigan, USA",-83.153435,42.289449,3.044199
"Wayne, Michigan, USA",-83.161145,42.283069,3.039548
"Wayne, Michigan, USA",-83.151415,42.281869,3.825275
"Wayne, Michigan, USA",-83.162585,42.270009,3.306407
"Anoka, Minnesota, USA",-93.207615,45.13768,0.642659
"Dakota, Minnesota, USA",-93.03255,44.76323,2.228767
"Dakota, Minnesota, USA",-93.06299,44.77553,0.935813
"Dakota, Minnesota, USA",-93.05541,44.745662,0.863694
"Hennepin, Minnesota, USA",-93.273719,44.980995,1.7
"Washington, Minnesota, USA",-92.9954,44.84737,3.904683
"Hinds, Mississippi, USA",-90.182722,32.329111,0.783862
"Jackson, Mississippi, USA",-88.53393,30.378287,1.510204
"Franklin, Missouri, USA",-90.796911,38.572522,1.996283
"Iron, Missouri, USA",-91.11689,37.65214,7.109167
"Jefferson, Missouri, USA",-90.304783,38.144972,2.131474
"Jefferson, Missouri, USA",-90.29842,38.10525,2.145205
"Monroe, Missouri, USA",-91.788991,39.474976,1.427011
"Saint Charles, Missouri, USA",-90.865528,38.581799,1.920548
"Saint Louis, Missouri, USA",-90.44884,38.75264,3.083562
"Lewis and Clark, Montana, USA",-111.987164,46.8505,0.49577
"Yellowstone, Montana, USA",-108.45878,45.786579,4.274074
"Douglas, Nebraska, USA",-95.973142,41.247486,0.679726
"Douglas, Nebraska, USA",-95.938593,41.322508,2.107353
"Washoe, Nevada, USA",-119.807717,39.525083,0.500573
"Atlantic, New Jersey, USA",-74.448736,39.464872,0.201648
"Essex, New Jersey, USA",-74.192892,40.720989,0.605014
"Hudson, New Jersey, USA",-74.126081,40.67025,0.914795
"Morris, New Jersey, USA",-74.676301,40.787628,0.557025
"Union, New Jersey, USA",-74.208365,40.64144,0.915616
"Warren, New Jersey, USA",-75.067815,40.92458,1.18017
"Bernalillo, New Mexico, USA",-106.5852,35.1343,1.006425
"San Juan, New Mexico, USA",-107.977567,36.742227,0.229692
"San Juan, New Mexico, USA",-108.473138,36.796667,0.853741
"San Juan, New Mexico, USA",-108.69523,36.8071,0.686296
"Albany, New York, USA",-73.75733,42.68075,0.494444
"Bronx, New York, USA",-73.902,40.816,1.078151
"Bronx, New York, USA",-73.87809,40.8679,1.186575
"Chautauqua, New York, USA",-79.31881,42.49963,0.588736
"Dutchess, New York, USA",-73.74136,41.78555,0.39863
"Erie, New York, USA",-78.809526,42.876907,1.654247
"Erie, New York, USA",-78.89926,42.99813,0.696317
"Essex, New York, USA",-73.8589,44.39308,0.256338
"Franklin, New York, USA",-74.24593,44.43426,0.335955
"Hamilton, New York, USA",-74.51625,43.44957,0.112605
"Herkimer, New York, USA",-74.98538,43.68578,0.562896
"Monroe, New York, USA",-77.54817,43.14618,0.446944
"Nassau, New York, USA",-73.58549,40.74316,0.866391
"Onondaga, New York, USA",-76.05921,43.05235,0.259341
"Putnam, New York, USA",-73.70977,41.45589,0.266484
"Queens, New York, USA",-73.82153,40.73614,1.219101
"Steuben, New York, USA",-77.20978,42.09142,0.249025
"Suffolk, New York, USA",-73.05754,40.82799,0.375504
"Beaufort, North Carolina, USA",-76.7399,35.428,1.485227
"Brunswick, North Carolina, USA",-78.019264,33.942294,7.769516
"Cumberland, North Carolina, USA",-78.991692,35.002304,0.226966
"Forsyth, North Carolina, USA",-80.224501,36.11094,0.829086
"Martin, North Carolina, USA",-76.9063,35.81066,0.115203
"Mecklenburg, North Carolina, USA",-80.785683,35.2401,0.690368
"Person, North Carolina, USA",-79.058272,36.49002,4.749014
"Wake, North Carolina, USA",-78.574167,35.856111,0.324566
"Billings, North Dakota, USA",-103.37853,46.8943,1.969722
"Burke, North Dakota, USA",-102.4018,48.64193,3.452603
"Cass, North Dakota, USA",-96.85535,46.933754,1.038905
"McKenzie, North Dakota, USA",-103.2995,47.5812,1.321096
"Mercer, North Dakota, USA",-101.766944,47.298611,3.090556
"Mercer, North Dakota, USA",-101.78128,47.371672,4.766484
"Mercer, North Dakota, USA",-101.929099,47.400624,2.052342
"Oliver, North Dakota, USA",-101.428056,47.185833,2.359615
"Williams, North Dakota, USA",-102.910693,48.392666,9.697802
"Jefferson, Ohio, USA",-80.6158,40.3663,4.892958
"Adair, Oklahoma, USA",-94.669697,35.750735,0.80767
"Oklahoma, Oklahoma, USA",-97.475083,35.614131,0.026706
"Tulsa, Oklahoma, USA",-96.011664,36.149877,0.623145
"Tulsa, Oklahoma, USA",-95.998941,36.126945,0.553977
"Tulsa, Oklahoma, USA",-95.976537,36.204902,0.661934
"Multnomah, Oregon, USA",-122.602877,45.496641,0.572174
"Adams, Pennsylvania, USA",-77.30968,39.92002,0.42
"Allegheny, Pennsylvania, USA",-80.071337,40.499767,0.648199
"Allegheny, Pennsylvania, USA",-79.960757,40.46542,1.629609
"Allegheny, Pennsylvania, USA",-79.868062,40.323768,17.091667
"Allegheny, Pennsylvania, USA",-80.169943,40.375644,2.158904
"Allegheny, Pennsylvania, USA",-79.860973,40.402328,7.663014
"Beaver, Pennsylvania, USA",-80.503948,40.56252,1.971591
"Beaver, Pennsylvania, USA",-80.359722,40.684722,1.28169
"Berks, Pennsylvania, USA",-75.9686,40.38335,0.122807
"Blair, Pennsylvania, USA",-78.370833,40.535278,1.785498
"Cambria, Pennsylvania, USA",-78.915,40.309722,1.698225
"Centre, Pennsylvania, USA",-77.877028,40.811389,0.318182
"Indiana, Pennsylvania, USA",-78.919972,40.56333,3.66759
"Luzerne, Pennsylvania, USA",-75.846389,41.265556,0.825
"Northampton, Pennsylvania, USA",-75.341111,40.628056,1.002882
"Philadelphia, Pennsylvania, USA",-75.080833,39.991389,1.771552
"Philadelphia, Pennsylvania, USA",-75.186921,39.922867,1.722376
"Warren, Pennsylvania, USA",-79.169722,41.844722,5.097143
"Warren, Pennsylvania, USA",-79.119952,41.825708,5.140056
"Washington, Pennsylvania, USA",-79.902222,40.146667,2.535714
"Washington, Pennsylvania, USA",-80.420833,40.445278,1.770774
"York, Pennsylvania, USA",-76.699444,39.965278,0.906516
"Charleston, South Carolina, USA",-79.977538,32.882289,1.696562
"Charleston, South Carolina, USA",-79.657187,32.941023,0.556772
"Greenville, South Carolina, USA",-82.414585,34.843895,0.363585
"Lexington, South Carolina, USA",-81.15495,34.051017,0.449573
"Oconee, South Carolina, USA",-83.2377,34.805261,0.169828
"Richland, South Carolina, USA",-80.962304,34.093959,0.398883
"Richland, South Carolina, USA",-80.781135,33.81468,0.313081
"York, South Carolina, USA",-81.207,34.977,0.348626
"Jackson, South Dakota, USA",-101.941218,43.74561,2.071429
"Minnehaha, South Dakota, USA",-96.700769,43.54792,0.666201
"Pennington, South Dakota, USA",-103.273777,44.087397,1.1225
"Union, South Dakota, USA",-96.707208,42.751518,0.81404
"Blount, Tennessee, USA",-83.941606,35.63348,0.266374
"Davidson, Tennessee, USA",-86.74472,36.205055,2.824916
"Bexar, Texas, USA",-98.311692,29.275381,0.318095
"Dallas, Texas, USA",-96.860117,32.820061,0.764815
"Ellis, Texas, USA",-97.026899,32.482083,0.89194
"El Paso, Texas, USA",-106.455227,31.765685,1.804878
"Galveston, Texas, USA",-94.93152,29.385234,1.351576
"Harris, Texas, USA",-95.474167,29.623889,1.162117
"Harris, Texas, USA",-95.294722,29.686389,1.275487
"Harris, Texas, USA",-94.983786,29.823319,0.608832
"Harris, Texas, USA",-95.257593,29.733726,0.473056
"Harris, Texas, USA",-95.128508,29.670025,0.934375
"Jefferson, Texas, USA",-94.071061,30.036422,2.578448
"Jefferson, Texas, USA",-93.991084,29.897516,5.405915
"Kaufman, Texas, USA",-96.317687,32.564968,0.857182
"Navarro, Texas, USA",-96.399141,32.031934,3.394633
"Nueces, Texas, USA",-97.434262,27.76534,1.684615
"Potter, Texas, USA",-101.787405,35.236736,0.918911
"Salt Lake, Utah, USA",-111.872222,40.736389,1.341644
"Salt Lake, Utah, USA",-111.931,40.78422,0.935473
"Chittenden, Vermont, USA",-72.86884,44.52839,0.24893
"Rutland, Vermont, USA",-72.982778,43.608056,0.709695
"Charles, Virginia, USA",-77.25925,37.34438,1.882647
"Fairfax, Virginia, USA",-77.10468,38.77335,0.79779
"Henrico, Virginia, USA",-77.40027,37.55652,0.536556
"Roanoke, Virginia, USA",-79.88452,37.28342,0.667493
"Rockingham, Virginia, USA",-78.81952,38.47753,0.418551
"Hampton City, Virginia, USA",-76.387017,37.103733,0.852066
"Norfolk City, Virginia, USA",-76.30135,36.85555,0.533333
"Clallam, Washington, USA",-124.62491,48.29786,0.113231
"King, Washington, USA",-122.308628,47.568236,1.378994
"Skagit, Washington, USA",-122.61428,48.52059,0.84
"Brooke, West Virginia, USA",-80.596635,40.341023,9.249315
"Brooke, West Virginia, USA",-80.586235,40.389655,7.063187
"Brooke, West Virginia, USA",-80.611813,40.394651,9.446575
"Hancock, West Virginia, USA",-80.576567,40.460138,4.81768
"Hancock, West Virginia, USA",-80.592318,40.427372,4.802326
"Hancock, West Virginia, USA",-80.540616,40.618353,3.32133
"Kanawha, West Virginia, USA",-81.621161,38.346258,1.361944
"Marshall, West Virginia, USA",-80.733858,39.915961,3.438395
"Monongalia, West Virginia, USA",-79.920867,39.649367,2.781163
"Wood, West Virginia, USA",-81.552367,39.323533,4.509804
"Brown, Wisconsin, USA",-87.99344,44.50729,1.159834
"Dane, Wisconsin, USA",-89.357298,43.100838,0.368421
"Dodge, Wisconsin, USA",-88.621111,43.466111,0.368994
"Milwaukee, Wisconsin, USA",-87.913504,43.060975,0.684384
"Oneida, Wisconsin, USA",-89.41848,45.64505,2.165753
"Carbon, Wyoming, USA",-107.12083,41.78237,0.396694
"Carbon, Wyoming, USA",-107.08422,41.79358,0.52924
"Laramie, Wyoming, USA",-104.778334,41.182227,1.868258
"Natrona, Wyoming, USA",-106.23586,42.8608,2.696023
"Sweetwater, Wyoming, USA",-109.788333,41.750556,1.618508
"Weston, Wyoming, USA",-104.20512,43.84539,1.195068
"Mobile, Alabama, USA",-88.087761,30.770181,2.796264
"Shelby, Alabama, USA",-86.8072,33.0928,5.606647
"Sumter, Alabama, USA",-88.277992,32.362606,0.965097
"Maricopa, Arizona, USA",-112.04659,33.45797,1.432877
"Maricopa, Arizona, USA",-112.11821,33.4265,1.808219
"Fresno, California, USA",-119.77321,36.78538,1.116022
"Humboldt, California, USA",-124.17949,40.77678,0.589634
"Imperial, California, USA",-115.48307,32.67618,1.241716
"San Bernardino, California, USA",-117.32554,34.510961,2.052676
"San Bernardino, California, USA",-117.3714,35.77417,2.8
"San Diego, California, USA",-116.944308,32.789565,0.19242
"Santa Barbara, California, USA",-120.428717,34.725352,0.053571
"Archuleta, Colorado, USA",-107.254118,37.205862,1.369182
"Hamilton, Florida, USA",-82.794715,30.42659,1.657317
"Hillsborough, Florida, USA",-82.383728,27.854176,2.244521
"Hillsborough, Florida, USA",-82.419835,27.779712,2.21
"Miami-Dade, Florida, USA",-80.38259,25.899539,0.359016
"Bibb, Georgia, USA",-83.543493,32.805264,0.494795
"Chatham, Georgia, USA",-81.04942,32.06848,4.26768
"Chatham, Georgia, USA",-81.130222,32.090779,7.535928
"DeKalb, Georgia, USA",-84.2905,33.6878,0.306906
"Floyd, Georgia, USA",-85.3259,34.2434,3.051507
"Fulton, Georgia, USA",-84.357316,33.720742,1.766954
"Richmond, Georgia, USA",-82.0224,33.4339,6.181214
"Macon, Illinois, USA",-88.894488,39.880404,2.326446
"Macon, Illinois, USA",-88.933635,39.850712,7.123757
"Macon, Illinois, USA",-88.923323,39.846856,6.515642
"Monroe, Illinois, USA",-90.22728,38.15908,2.104895
"Wabash, Illinois, USA",-87.773853,38.397789,3.225824
"Floyd, Indiana, USA",-85.832974,38.30703,1.33284
"Gibson, Indiana, USA",-87.748323,38.392991,4.838719
"Lake, Indiana, USA",-87.304943,41.606662,2.896405
"Lake, Indiana, USA",-87.435561,41.653501,3.604918
"Lake, Indiana, USA",-87.493609,41.639306,1.988219
"Marion, Indiana, USA",-86.186269,39.749027,0.602532
"Marion, Indiana, USA",-86.114444,39.810833,0.683384
"Morgan, Indiana, USA",-86.391795,39.514179,4.916564
"Pike, Indiana, USA",-87.248598,38.518935,2.365639
"Vanderburgh, Indiana, USA",-87.577222,38.013333,1.857349
"Vigo, Indiana, USA",-87.401312,39.485987,1.548189
"Henderson, Kentucky, USA",-87.511427,37.654381,10.465565
"Bossier, Louisiana, USA",-93.747041,32.535293,0.973512
"Calcasieu, Louisiana, USA",-93.285084,30.262604,0.991379
"Calcasieu, Louisiana, USA",-93.285598,30.103724,3.170083
